UID,SUMLEVEL,COUNTYID,STATEID,state,state_ab,city,place,type,primary,zip_code,area_code,lat,lng,ALand,AWater,pop,male_pop,female_pop,rent_mean,rent_median,rent_stdev,rent_sample_weight,rent_samples,rent_gt_10,rent_gt_15,rent_gt_20,rent_gt_25,rent_gt_30,rent_gt_35,rent_gt_40,rent_gt_50,universe_samples,used_samples,hi_mean,hi_median,hi_stdev,hi_sample_weight,hi_samples,family_mean,family_median,family_stdev,family_sample_weight,family_samples,hc_mortgage_mean,hc_mortgage_median,hc_mortgage_stdev,hc_mortgage_sample_weight,hc_mortgage_samples,hc_mean,hc_median,hc_stdev,hc_samples,hc_sample_weight,home_equity_second_mortgage,second_mortgage,home_equity,debt,second_mortgage_cdf,home_equity_cdf,debt_cdf,hs_degree,hs_degree_male,hs_degree_female,male_age_mean,male_age_median,male_age_stdev,male_age_sample_weight,male_age_samples,female_age_mean,female_age_median,female_age_stdev,female_age_sample_weight,female_age_samples,pct_own,married,married_snp,separated,divorced
220336,140,16,2,Alaska,AK,Unalaska,Unalaska City,City,tract,99685,907,53.621091299999996,-166.7709793,2823180154,3101986247,4619,2725,1894,1366.24657,1405.0,650.1638,131.50967,372.0,0.8567600000000001,0.65676,0.47838,0.35405,0.28108,0.21081,0.15135,0.12432,661,370,107394.63092000001,92807.0,70691.05352,329.85389,874.0,114330.20465,101229.0,63955.77136,161.15239,519.0,2266.2256199999997,2283.0,768.53497,41.65644,155.0,840.67205,776.0,341.8558,58.0,29.74375,0.00469,0.01408,0.02817,0.7277,0.50216,0.7714300000000001,0.30304000000000003,0.8284100000000001,0.8278399999999999,0.8294,38.45838,39.25,17.654529999999998,709.06255,2725.0,32.78177,31.91667,19.31875,440.46429000000006,1894.0,0.25053000000000003,0.47388,0.30134,0.03443,0.09802000000000001
220342,140,20,2,Alaska,AK,Eagle River,Anchorage,City,tract,99577,907,61.174250300000004,-149.2843294,509234898,1859309,3727,1780,1947,2347.69441,2351.0,382.73576,4.32064,44.0,0.79545,0.56818,0.56818,0.45455,0.20455,0.20455,0.20455,0.0,50,44,136547.39117000002,119141.0,84268.79529,288.40934,1103.0,148641.70829,143026.0,69628.72286000001,159.20875,836.0,2485.10777,2306.0,919.76234,180.92883,797.0,712.33066,742.0,336.98847,256.0,159.3227,0.03609,0.060779999999999994,0.07407000000000001,0.75689,0.1552,0.56228,0.23925,0.9409,0.9725299999999999,0.9150299999999999,37.262159999999994,39.33333,19.66765,503.8341,1780.0,38.97956,39.66667,20.05513,466.65477999999996,1947.0,0.94989,0.52381,0.017769999999999998,0.00782,0.13575
220345,140,20,2,Alaska,AK,Anchorage,Point Mackenzie,City,tract,99501,907,61.22955989999999,-149.8930372,2371512,9966854,1941,892,1049,943.79086,914.0,308.34101,396.51652,720.0,0.97046,0.81435,0.6765100000000001,0.58509,0.39381,0.32208000000000003,0.27286,0.20253,723,711,66790.89936,48230.0,59069.63484,562.35527,902.0,78660.39446,52606.0,61242.79596,227.29223,390.0,2289.7918600000003,2359.0,697.0268599999999,34.96584,140.0,491.86501,558.0,187.02879,39.0,24.35354,0.0,0.0,0.04469,0.7821199999999999,1.0,0.69931,0.18899000000000002,0.89274,0.94301,0.8487100000000001,35.81912,34.0,22.03023,213.71499,892.0,37.0075,34.0,22.063470000000002,281.4942,1049.0,0.20247,0.44428,0.059329999999999994,0.0,0.21563000000000002
220347,140,20,2,Alaska,AK,Anchorage,Anchorage,City,tract,99504,907,61.217081799999995,-149.7672141,1979230,0,5981,3076,2905,1372.8447199999998,1222.0,541.82102,251.53249,878.0,0.97836,0.9031899999999999,0.8006800000000001,0.66856,0.45899999999999996,0.34738,0.24829,0.11275999999999999,914,878,76752.81635,66459.0,53486.53205,1015.6654699999999,2065.0,80981.1773,67470.0,53414.82667,623.26325,1290.0,1904.1641,1678.0,773.34778,224.18105,774.0,681.80199,717.0,189.7983,377.0,203.26263,0.04083,0.04083,0.08514,0.6724600000000001,0.26136,0.50952,0.43422,0.9535100000000001,0.9606,0.9466899999999999,34.1311,30.16667,21.32335,802.2638599999999,3076.0,34.96611,31.75,20.49887,655.98066,2905.0,0.5693600000000001,0.51034,0.08315,0.06731000000000001,0.08711
220348,140,20,2,Alaska,AK,Anchorage,Anchorage,City,tract,99504,907,61.2175067,-149.74442630000001,2089774,0,5476,2916,2560,1351.27532,1353.0,416.08723,259.25649,963.0,0.97701,0.9634299999999999,0.8046,0.64054,0.51515,0.35319,0.19749,0.11703,998,957,81877.97542,67201.0,60759.1136,939.19175,1792.0,84931.34713,66015.0,59310.63735,656.70252,1297.0,2060.45716,2047.0,594.65742,143.3839,593.0,667.73315,718.0,253.41088,201.0,125.74746999999999,0.02897,0.02897,0.05164,0.74685,0.35744000000000004,0.66766,0.26073,0.87941,0.9083700000000001,0.8493200000000001,29.236079999999998,25.58333,17.77291,791.66137,2916.0,33.6377,28.83333,20.63591,650.45353,2560.0,0.45011,0.39429000000000003,0.04615,0.02418,0.10242000000000001
220349,140,20,2,Alaska,AK,Anchorage,Anchorage,City,tract,99504,907,61.2233721,-149.7233267,2936374,0,5893,3037,2856,1022.9132199999999,1076.0,504.56448,529.85586,1081.0,0.9704,0.90564,0.90564,0.77058,0.64477,0.48103999999999997,0.35338,0.28955,1093,1081,65167.78407,47681.0,60014.44322000001,1214.1829599999999,1952.0,78211.32523999999,68672.0,52202.48618,554.9069900000001,1112.0,1868.6287899999998,1816.0,385.28172,124.0705,534.0,511.2636,506.0,237.6761,325.0,217.92928999999998,0.0,0.0,0.0,0.62165,1.0,1.0,0.5529,0.86077,0.88176,0.83415,36.01941,34.16667,20.4583,716.0871900000001,3037.0,34.54987,29.33333,23.105179999999997,633.78198,2856.0,0.51995,0.26361999999999997,0.07852999999999999,0.017230000000000002,0.08893999999999999
220350,140,20,2,Alaska,AK,Anchorage,Point Mackenzie,City,tract,99508,907,61.2167015,-149.7927444,2494426,0,7481,3766,3715,1101.8807,1034.0,440.95777000000004,459.72485,1053.0,0.9439700000000001,0.9439700000000001,0.79202,0.61349,0.47198,0.47198,0.4359,0.28965,1131,1053,65639.50912999999,53830.0,50064.90851,1373.64353,2290.0,76191.85097,63622.0,51814.80262,722.46212,1432.0,1802.36077,1792.0,492.77427,220.21477000000002,805.0,731.5715299999999,569.0,417.58061000000004,354.0,209.55556,0.01122,0.01122,0.0302,0.6945600000000001,0.52782,0.76337,0.3814,0.87654,0.8835,0.8695200000000001,30.85796,27.66667,20.10592,1004.06575,3766.0,31.90301,26.75,21.09383,1058.01327,3715.0,0.52659,0.48123,0.08381,0.00645,0.11945
220352,140,20,2,Alaska,AK,Anchorage,Point Mackenzie,City,tract,99508,907,61.215066799999995,-149.83627099999998,4467475,0,5501,3139,2362,884.61089,924.0,365.64047999999997,564.66795,1003.0,0.9124200000000001,0.77291,0.6446,0.5295300000000001,0.4613,0.37882,0.30346,0.2057,1025,982,52556.63645,37463.0,52235.600510000004,1043.0288699999999,1476.0,55049.80782,43135.0,44933.82378,506.18004,796.0,1939.9511300000001,1866.0,588.0416799999999,51.47031,188.0,562.66116,626.0,187.14426,263.0,165.52525,0.06874,0.06874,0.09534,0.41685,0.12692,0.46229,0.8760399999999999,0.79679,0.7784300000000001,0.82344,31.35271,29.0,18.01536,824.97286,3139.0,30.84458,27.41667,19.34143,602.06038,2362.0,0.33319,0.20736,0.06467,0.02304,0.13622
220353,140,20,2,Alaska,AK,Anchorage,Point Mackenzie,City,tract,99501,907,61.204382900000006,-149.8525257,1146156,0,3225,1565,1660,991.7641199999999,1068.0,440.74245999999994,417.58346,843.0,0.97509,0.8932399999999999,0.67378,0.64294,0.4745,0.39739,0.25979,0.19454000000000002,866,843,70388.07608,49411.0,59036.79534,836.22455,1394.0,75352.84814,57581.0,53999.965489999995,429.71674,788.0,1728.23462,1707.0,607.8699799999999,132.29312,402.0,633.92151,671.0,198.17506,126.0,70.44444,0.02652,0.02652,0.0947,0.76136,0.38023,0.46518000000000004,0.23018000000000002,0.85196,0.89312,0.81628,38.86716,39.5,21.352520000000002,343.87233,1565.0,43.54596,41.08333,25.74935,349.07274,1660.0,0.38822,0.40949,0.04506,0.011859999999999999,0.17154
220354,140,20,2,Alaska,AK,Anchorage,Point Mackenzie,City,tract,99501,907,61.2102868,-149.87598390000002,1749931,0,3416,1569,1847,1109.85989,1031.0,440.89315999999997,661.8899299999999,1636.0,0.9364299999999999,0.8105100000000001,0.74205,0.6412,0.57029,0.48411000000000004,0.40159,0.31356999999999996,1697,1636,58301.46781,40408.0,63937.6684,1229.0208300000002,1951.0,84416.76791000001,59087.0,79052.61504,293.51943,549.0,1610.60637,1497.0,642.1784200000001,67.55286,161.0,788.77846,697.0,350.45684,93.0,50.575759999999995,0.0,0.0,0.06692999999999999,0.6338600000000001,1.0,0.5957600000000001,0.52495,0.8881700000000001,0.87366,0.90056,40.798320000000004,38.58333,18.34104,380.49273,1569.0,41.24644,42.75,19.87058,449.61937,1847.0,0.15968,0.29005,0.07515,0.01318,0.15162
